date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-04-17,,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,0.106550,-2.292683,-0.005089,0.683455,-1.342771,0.516585,-1.961193,-1.976907,-1.292533,0.392846,-3.601824
2020-04-20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,-0.288789,-2.012353,0.016906,0.531541,-1.342295,0.883820,-1.960419,-1.989572,-1.185984,0.452193,5.016688
2020-04-21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,-0.811369,-1.907574,0.040784,0.373739,-1.232542,1.293551,-1.963460,-2.003311,-1.113286,0.500152,9.553116
2020-04-22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,1.473662,-2.114913,-0.028527,0.224450,-1.348316,1.561861,-1.954173,-1.997351,-1.022610,0.567347,9.770900
2020-04-23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,0.351183,-1.846002,-0.024458,0.004298,-1.524559,1.687109,-1.938900,-1.983307,-0.906970,0.665911,-0.323982
2020-04-24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,-0.759269,-1.617934,0.007033,-0.281200,-1.625692,1.649365,-1.927255,-1.976036,-0.775904,0.768139,1.641198
2020-04-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,0.010806,-1.643944,0.007595,-0.670590,-1.684764,1.629526,-1.910503,-1.960007,-0.634155,0.883922,12.901988
2020-04-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,0.656010,-1.467035,-0.012872,-1.217709,-1.675454,1.587768,-1.895411,-1.943757,-0.489203,1.005586,10.170339
2020-04-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,0.887439,-1.395293,-0.018785,-1.715128,-1.597437,1.524769,-1.877291,-1.924673,-0.353280,1.110581,1.578551
2020-04-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,-0.440015,-1.304084,0.018960,-2.041574,-1.457628,1.483074,-1.860699,-1.906530,-0.215038,1.256124,-1.207529
