date,title,content
2020-04-17,Ford Motor ожидает квартальных убытков в размере $2 млрд,
2020-04-17,ОАО РЖД отменяет 76 летних поездов,
2020-04-18,ОАК закрыла главный офис в Москве из-за коронавируса,
2020-04-18,Арестованы активы двух крупных российских компаний по вылову краба,
2020-04-18,Президент Татарстана попросил платить самозанятым и ИП наравне с безработными,
2020-04-19,Ozon начал продавать тесты на коронавирус в Москве,
2020-04-19,Bloomberg: спрос на наличные в России увеличивался после обращений Путина,
2020-04-20,В России увеличилось количество прекративших деятельность ИП,
2020-04-20,Alibaba инвестирует $28 млрд в облачные технологии,
2020-04-20,Volkswagen выплатит компенсации за «дизельгейт» на €620 млн,
2020-04-21,«Тинькофф»: обороты малого и среднего бизнеса снизились на 21%,
2020-04-21,Решетников не ожидает «отскока» российской экономики после снятия ограничений,
2020-04-21,Страны G20 примут меры по защите продовольственной безопасности из-за пандемии,
2020-04-21,Продажи Coca-Cola в апреле упали на 25%,
2020-04-21,Новак призвал не драматизировать ситуацию из-за обвала цен на нефть,
2020-04-22,Российские интернет-компании согласились снизить качество видео,
2020-04-22,При покупке билета на поезд с 23 апреля необходимо указывать контактные данные,
2020-04-22,Новак: при цене нефти $20 за баррель бюджет получит 1 трлн руб. за счет демпфера,
2020-04-22,В «Энел Россия» сменился генеральный директор,
2020-04-23,WSJ: Amazon просматривает документацию бестселлеров перед запуском похожего продукта,
2020-04-23,Субсидирование энергоцен на Дальнем Востоке продлят на 10 лет,
2020-04-23,Глава ВТБ предложил механизм финансирования мер для поддержки экономики,
2020-04-23,Рубль растет к доллару и евро на фоне подорожания нефти,
2020-04-24,Правительство выделило 6 млрд рублей из резервного фонда на льготную ипотеку,
2020-04-24,Кудрин: рисков высокой инфляции в России практически нет,
2020-04-25,Орешкин рассказал об особенностях кризиса из-за COVID-19,
2020-04-25,Мишустин поручил согласовать поэтапное снятие ограничений с бизнеса,
2020-04-25,Правительство выделило 24 млрд руб. на льготные кредиты системообразующим предприятиям,
2020-04-25,Решетников рассказал о «достаточно жесткой» беседе с банками о льготных кредитах,
2020-04-26,Советник Трампа допустил рост безработицы до показателей Великой депрессии,
2020-04-26,Силуанов рассказал о мерах для поддержки экономики и граждан,
2020-04-26,"Минфин США надеется, что экономика начнет быстрое восстановление в июле",
2020-04-27,США ужесточили контроль над экспортом в Россию товаров двойного назначения,
2020-04-27,Росавиация сформировала график вывозных рейсов до 5 мая,
2020-04-28,"Минэкономики: в первом квартале 2020 года ВПП России вырос на 1,8%",
2020-04-28,Американский сенатор потребовал от Минюста США начать уголовное расследование против Amazon,
2020-04-28,Чигиринский дал показания против Батуриной в споре о разделе «Интеко»,
2020-04-28,«Газпром» не будет вывозить персонал с Чаянды,
2020-04-29,Украинский завод «Русала» останавливает работу,
2020-04-29,Boeing объявила о сокращении 10% сотрудников,
2020-04-30,Сбербанк выделил 3 млрд рублей на борьбу с коронавирусом,
2020-04-30,ФАС проверит условия выдачи ваучеров авиакомпаниями,
2020-04-30,Durex: люди стали реже заниматься сексом во время самоизоляции,
2020-04-30,"Рост ВВП в марте замедлился с 2,8% до 0,9%",
2020-05-01,Музыкальный фестиваль Park Live-2020 отменили,
2020-05-01,Илон Маск хочет продать почти все имущество,
2020-05-01,Правительство ограничило закупки промтоваров для госнужд из-за рубежа,
2020-05-01,На Ставрополье из-за гибели посевов введен режим ЧС,
2020-05-02,Berkshire Уоррена Баффетта отчиталась об убытке в $50 млрд,
2020-05-03,«Ростех» сообщил о спекулятивных наценках на материалы для средств защиты до 500%,
2020-05-04,Apple представила обновленную модель ноутбука MacBook Pro c 13-дюймовым экраном,
2020-05-05,Цена нефти WTI превысила $25,
2020-05-05,Авиакомпания Virgin Atlantic сократит треть сотрудников,
2020-05-05,Нехватка мяса вынуждает сеть быстрого питания Wendy’s убирать из меню бургеры,
2020-05-05,Банки Goldman Sachs и Morgan Stanley: мировая экономика готовится к восстановлению,
2020-05-06,ЦБ прогнозирует дефицит бюджета по итогам 2020 года на уровне 5–6% ВВП России,
2020-05-06,ТАСС: власти разработали общенациональный план восстановления экономики России,
2020-05-07,Туроператорам могут разрешить возвращать сертификаты вместо денег за отмененные туры,
2020-05-07,Минсельхоз объяснил рост цен на овощи исчерпанием запасов и колебанием курса рубля,
2020-05-07,Bombardier отчитался об убытке в $200 млн,
2020-05-07,"Безработица в России выросла до 4,6%",
2020-05-07,КС Молдавии признал неконституционным российский кредит на €200 млн,
2020-05-07,"Годовая инфляция в России ускорилась до 3,1%",
2020-05-07,Москвичи вновь смогут ездить на такси бизнес-класса,
2020-05-08,Белоусов обсудил меры господдержки крупного бизнеса,
2020-05-08,Минтранс не видит причин для банкротства «Уральских авиалиний»,
2020-05-09,Маск сообщил о планах перенести штаб-квартиру Tesla из Калифорнии,
2020-05-10,Ритейлеры просят Володина ускорить принятие закона о расторжении договоров аренды,
2020-05-11,В Подмосковье предприятия начнут работать не раньше 18 мая,
2020-05-11,Основатель Twitter пожертвовал $10 млн на помощь заключенным в США,
2020-05-11,ОАЭ в июне дополнительно сократят добычу нефти,
2020-05-11,"Ричард Брэнсон продаст акции в Virgin Galactic, чтобы спасти остальной свой бизнес",
2020-05-11,Путин предложил новые меры поддержки самозанятым и ИП,
2020-05-12,"NASA заплатит «Роскосмосу» $90,2 млн за доставку космонавта на МКС",
2020-05-12,В США подан коллективный иск против IKEA,
2020-05-12,ТПП предлагает выплачивать пособие за вынужденный отпуск до 80% средней зарплаты,
2020-05-13,Уплата утильсбора на машины отложена до конца года,
2020-05-13,Первый зампред правления ВТБ Соловьев госпитализирован с подозрением на COVID-19,
2020-05-13,Минэкономики: план восстановления будет рассчитан на 2020–2021 годы,
2020-05-13,Минэкономики намерено расширить меры по поддержке малого и среднего бизнеса,
2020-05-13,ОПЕК ухудшила прогноз по мировому спросу на нефть,
2020-05-14,Основатель Alibaba перестал быть самым богатым человеком Китая,
2020-05-14,Роструд: перевод на «удаленку» не может быть причиной понижения зарплаты,
2020-05-15,Путин утвердил поручения по ситуации с коронавирусом в России,
2020-05-15,Треть магазинов и предприятий Москвы нарушают санитарные нормы по борьбе с COVID-19,
2020-05-15,Истекает срок 25-летнего соглашения на транзит газа между Россией и Польшей,
2020-05-15,Андрей Муров перестал быть главой ФСК,
2020-05-15,СНБО Украины включил «СТС Медиа» и «Спас ТВ» в санкционный список,
2020-05-15,Производители предупредили о возможном дефиците перчаток в России,
2020-05-15,Завод Volkswagen в Калуге начал увольнять работников,
2020-05-15,IT-компании просят 242 млрд рублей госпомощи,
2020-05-15,Facebook покупает сервис Giphy и интегрирует его в Instagram,
2020-05-16,РЖД запустит дополнительные «Сапсаны» для соблюдения социальной дистанции,
2020-05-16,"Минтранс назвал авиакомпании, подавшие заявки на господдержку",
2020-05-16,Минтранс ожидает восстановления пассажиропотока на железных дорогах к осени,
2020-05-17,Белоусов дал поручения по поддержке граждан и экономики,
2020-05-18,ЦБ ожидает дальнейшего роста инфляции,
2020-05-19,Туристическая отрасль РФ начнет поэтапный выход из карантина с 1 июня,
2020-05-19,В России могут объединить несколько особых экономических зон,
2020-05-19,Bloomberg прогнозирует снижение ВВП России на 16% во втором квартале,
2020-05-19,Российские банки в апреле зафиксировали снижение зарплат клиентов,
2020-05-19,"Росстат предварительно оценил рост ВВП в первом квартале в 1,6%",
2020-05-19,Uber впервые вошел в рейтинг Fortune 500,
2020-05-21,Росавиация дала рекомендации по организации полетов при выходе из карантина,
