,umap_1,umap_2,umap_3
ABIO,6.66797,8.856315,6.095274
ABRD,6.018185,8.38329,6.1938143
AFKS,2.670264,8.190541,5.4405904
AFLT,4.96308,7.5192122,7.123011
AKRN,6.9273963,8.364478,6.6757236
ALRS,5.856209,7.523409,8.841304
AMEZ,5.700482,6.60183,8.797933
APRI,6.609322,8.900836,6.0196867
APTK,6.017484,9.671497,5.821814
AQUA,6.7821317,8.325915,6.620316
ARSA,5.014966,12.28361,7.4067154
ASSB,5.6187434,6.260191,8.581295
ASTR,4.299427,3.8083892,4.1099124
AVAN,1.8016356,7.6066465,4.7742724
BANE,5.562806,9.740821,7.77818
BANEP,5.3918843,10.40758,7.8307905
BELU,5.9939704,8.471246,6.1239977
BISVP,5.3203373,10.626149,7.803366
BLNG,5.990024,8.435425,6.14415
BRZL,2.5348678,8.087052,5.349206
BSPB,1.8837414,7.9277887,4.8388953
BSPBP,2.0134397,8.125793,4.9806404
CARM,1.9733492,8.294783,5.226889
CBOM,1.7320836,7.992926,5.0637913
CHGZ,5.907337,6.3437924,8.5678005
CHKZ,6.0501537,6.510426,8.7835455
CHMF,5.9092345,6.2451334,8.805346
CHMK,6.3686466,8.167035,8.852693
CNRU,4.2861166,4.2562456,3.4342163
CNTL,4.3219814,4.324708,3.3157225
CNTLP,4.413831,4.3070765,3.3386006
DATA,4.982235,7.8959947,7.29884
DELI,4.5184,7.522742,6.6209044
DIAS,4.239478,3.833534,4.1542783
DIOD,6.5377,8.931536,6.027915
DVEC,4.2122955,10.476364,6.9463935
DZRD,5.920629,6.5966873,9.214144
DZRDP,5.929582,6.570758,9.189763
EELT,4.2193193,10.554841,6.563899
ELFV,4.2824073,10.5569935,7.0421367
ELMT,4.2703977,10.093133,7.0310683
ENPG,5.1105323,8.433004,7.7896338
EUTR,4.1411586,10.760585,6.3966174
FEES,4.3797016,12.104435,7.2564006
FESH,5.1056876,7.769726,7.331272
FLOT,4.9958563,8.078807,7.6892805
GAZA,5.2673044,6.7820435,7.093172
GAZAP,5.44861,8.541747,8.201502
GAZC,5.3099504,8.689697,8.186828
GAZP,5.2977567,8.724672,8.219344
GAZS,5.495346,8.417632,8.009027
GAZT,5.319061,8.366176,7.924619
GCHE,5.3132987,9.24083,7.902669
GECO,4.903642,7.5444355,7.038256
GEMA,6.4129477,8.961781,5.8882446
GEMC,6.408379,9.02678,5.749254
GMKN,5.902874,7.0947247,8.920933
GTRK,2.361383,8.318209,5.190794
