date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2020-04-17,,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,
2020-04-20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-04-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
2020-05-04,0.621390,-1.404750,0.636210,-0.477460,0.005130,-0.590410,1.077170,0.000000,0.000000,0.000000,0.000000,
2020-05-05,-1.516600,1.212500,-0.613320,1.999290,0.079240,1.501570,-0.861000,0.000000,0.000000,0.000000,0.000000,
2020-05-06,-0.070650,0.063240,-1.705690,-0.553020,1.261970,3.078270,-0.061810,0.000000,0.000000,0.000000,0.000000,
2020-05-07,0.725420,1.153340,-1.269200,-0.572240,0.109690,-0.339690,-0.090760,0.000000,0.000000,0.000000,0.000000,
2020-05-08,-1.057270,-0.019630,-2.881680,-0.585320,0.279120,-0.280070,-0.152910,0.000000,0.000000,0.000000,0.000000,
2020-05-12,-1.145900,0.991770,0.770390,-0.518670,-0.751090,-0.260210,1.702610,0.000000,0.000000,0.000000,0.000000,
2020-05-13,0.685130,0.767140,-0.686050,-0.582190,-0.483180,-0.340660,-0.475030,0.000000,0.000000,0.000000,0.000000,
2020-05-14,-0.374710,0.328740,0.712520,-0.181430,0.741910,-0.079250,-0.295500,0.000000,0.000000,0.000000,0.000000,
2020-05-15,0.222010,1.246300,-0.427960,-0.327670,-0.381150,-0.251290,0.414280,0.000000,0.000000,0.000000,0.000000,
2020-05-18,-0.964270,-1.613440,0.723260,0.579520,-1.021930,3.722170,-0.197090,0.000000,0.000000,0.000000,0.000000,
2020-05-19,-0.138000,0.057070,0.181220,0.002990,1.239360,-0.384650,-0.408730,0.000000,0.000000,0.000000,0.000000,
2020-05-20,-1.134160,1.475680,,-0.100210,1.073570,-0.059090,1.919920,0.000000,0.000000,0.000000,0.000000,
2020-05-21,2.178190,-0.611640,-1.581160,-0.177800,-0.588890,-0.326610,-0.854230,0.000000,0.000000,0.000000,0.000000,
2020-05-22,-1.235820,-0.688640,0.813380,-0.666660,-1.203280,-0.189680,-0.930570,0.000000,0.000000,0.000000,0.000000,
2020-05-25,-0.862160,0.320460,0.014680,0.838030,-0.639680,-0.416360,-1.162370,0.000000,0.000000,0.000000,0.000000,
2020-05-26,0.675580,-0.195980,0.929860,-1.177690,-0.383030,0.920480,-0.529590,0.000000,0.000000,0.000000,0.000000,
2020-05-27,-0.240930,0.832330,0.552700,-1.225240,0.261580,-0.302150,-0.028480,0.000000,0.000000,0.000000,0.000000,
2020-05-28,0.136990,-0.128350,0.265030,-0.626320,-0.306640,-0.411030,-0.443480,0.000000,0.000000,0.000000,0.000000,
2020-05-29,0.448880,-0.230920,0.773360,-0.087780,1.247220,-0.528270,-0.499900,0.000000,0.000000,0.000000,0.000000,
2020-06-01,1.358300,0.868220,-0.113620,2.297400,0.321110,-0.116190,0.777140,0.000000,0.000000,0.000000,0.000000,
2020-06-02,-0.369940,0.382420,0.171980,-0.821200,1.513980,-0.241220,-0.109570,0.000000,0.000000,0.000000,0.000000,0.000000
2020-06-03,-0.118940,-1.247620,0.830640,-0.801020,-1.420290,-0.414240,3.473320,0.000000,0.000000,0.000000,0.000000,0.000000
2020-06-04,-0.708960,0.771470,0.147530,0.018050,0.669560,-0.309410,-0.451940,0.000000,0.000000,0.000000,0.000000,0.000000
2020-06-05,1.491920,0.764900,0.817460,0.147840,-0.542750,-0.284360,-0.267160,0.000000,0.000000,0.000000,0.000000,0.000000
2020-06-08,-0.816330,0.643110,-0.627010,-0.039910,0.658070,-0.174400,-0.347730,0.000000,0.000000,0.000000,0.000000,0.000000
