,pca_1,pca_2,pca_3
ABIO,-0.13135807,0.04820058,-0.2879482
ABRD,-0.2561436,0.13308169,0.15875946
AFKS,-0.03618163,0.16506523,0.14373119
AFLT,0.043692622,0.076404944,-0.12515248
AKRN,-0.21048817,-0.015891176,0.05391627
ALRS,-0.24918936,0.01784825,0.034117714
AMEZ,-0.23250163,-0.0097531425,0.113821395
APRI,0.028118817,0.14743057,-0.42773646
APTK,0.15134463,0.14807129,-0.0363263
AQUA,-0.2286703,0.02300241,0.025267145
ARSA,0.31655616,-0.13930807,0.25543323
ASSB,-0.25406656,0.0114209205,0.14744508
ASTR,0.07711944,0.20149234,-0.025859017
AVAN,0.11952642,0.32762077,0.10266916
BANE,-0.0733828,-0.08082078,0.1375407
BANEP,-0.028808983,-0.08617519,0.22595735
BELU,-0.16120087,0.07057999,0.17701404
BISVP,-0.015890023,0.002509045,0.26310077
BLNG,-0.16120087,0.07057999,0.17701404
BRZL,-0.0098261535,0.21981964,0.35545605
BSPB,0.12214763,0.3535909,-0.015723687
BSPBP,0.022151,0.25868064,-0.07164798
CARM,0.041934878,0.2144034,-0.0968094
CBOM,0.08325759,0.35429057,0.14978988
CHGZ,-0.34980565,-0.012117179,-0.05694384
CHKZ,-0.29692164,-0.059531137,0.06694387
CHMF,-0.27732247,-0.029521337,0.189629
CHMK,-0.24837026,-0.13335454,-0.20402904
CNRU,0.11699381,0.19372939,-0.13799417
CNTL,0.2824832,0.21030742,-0.22341986
CNTLP,0.23670602,0.13379249,-0.27164194
DATA,-0.14075534,0.06755328,-0.08002184
DELI,0.08571913,0.17959033,-0.00795772
DIAS,0.010619929,0.11284468,-0.12173429
DIOD,-0.13935201,0.08764698,-0.09415072
DVEC,0.08310628,-0.22127461,-0.049631674
DZRD,-0.3702338,-0.10289705,0.08778609
DZRDP,-0.3702338,-0.10289705,0.08778609
EELT,0.036499586,-0.0860695,-0.09110735
ELFV,0.032065,-0.27956146,-0.025683166
ELMT,0.005337892,-0.27979678,-0.22325322
ENPG,-0.08902016,-0.19410853,-0.24626736
EUTR,0.06432402,-0.1471954,-0.057683863
FEES,0.33288595,-0.24339458,-0.113160506
FESH,0.0017485262,0.08409902,-0.3052775
FLOT,-0.08766747,-0.053981267,-0.2066121
GAZA,-0.18953305,0.020879243,-0.24192998
GAZAP,-0.14979373,-0.014990571,-0.18564071
GAZC,-0.07926538,-0.058938876,-0.010435383
GAZP,-0.07926538,-0.058938876,-0.010435383
GAZS,-0.061954625,-0.14649905,-0.24232574
GAZT,-0.043299392,-0.1464954,-0.26730618
GCHE,0.024251496,-0.21309474,0.03364063
GECO,0.0048249033,0.074039474,-0.15279108
GEMA,-0.14277817,0.20863208,0.04384781
GEMC,0.08243003,0.26038995,0.017131662
GMKN,-0.23254023,-0.024057142,0.07882292
GTRK,-0.05131522,0.21685761,0.03286158
HEAD,0.16508587,0.25314745,-0.10776288
HIMCP,-0.30767295,-0.08943294,-0.1068923
HNFG,-0.04375334,0.17044775,0.115043536
HYDR,-0.010957109,-0.28803355,0.08964146
IGST,-0.36045656,0.0026413316,0.21417737
IGSTP,-0.36045656,0.0026413316,0.21417737
INGR,0.06110135,0.1385482,0.07720826
IRAO,0.17258242,-0.16643241,0.23703487
IRKT,-0.23496635,0.064204544,0.029840373
IVAT,0.049291052,0.07281116,-0.005225797
JNOS,-0.2986754,-0.0023494468,0.16233581
JNOSP,-0.2986754,-0.0023494468,0.16233581
KAZT,-0.3324735,0.03959978,-0.16202034
KAZTP,-0.3324735,0.03959978,-0.16202034
KBSB,0.2431746,-0.292754,0.036859553
KCHE,-0.2603263,-0.08668884,-0.20878199
KCHEP,-0.2603263,-0.08668884,-0.20878199
KGKC,-0.36760688,-0.10754588,-0.04957574
KGKCP,-0.36760688,-0.10754588,-0.04957574
KLSB,0.21675716,-0.22931156,-0.00093629106
KLVZ,-0.24738206,0.037186373,-0.080517456
KMAZ,-0.18650045,0.03990172,-0.18732706
KMEZ,-0.3213075,-0.029338064,0.10395023
KOGK,0.18111756,-0.25911072,0.10532763
KRKN,-0.24490747,-0.10691026,0.14281097
KRKNP,-0.24490747,-0.10691026,0.14281097
KRKOP,-0.24490747,-0.10691026,0.14281097
KROT,-0.26402652,-0.0064989855,0.07378682
KROTP,-0.26402652,-0.0064989855,0.07378682
KRSB,0.20458193,-0.20683542,0.058663737
KRSBP,0.20458193,-0.20683542,0.058663737
KUZB,-0.102781035,-0.22677986,0.0996837
KZOS,-0.29104745,-0.08370748,0.19221365
KZOSP,-0.19812185,-0.025014931,0.28087977
LEAS,0.020091223,0.30130923,0.06856202
LENT,0.1589258,0.08180119,0.050433736
LIFE,0.103433125,0.04066704,-0.24522461
LKOH,-0.14291458,0.0068219826,0.05166288
LMBZ,-0.24484853,-0.09762058,-0.0943232
LNZL,-0.12896721,0.10757166,0.10978615
LNZLP,-0.07651353,0.13415882,0.20860632
LPSB,0.19177699,-0.16253063,0.1744185
LSNG,0.28960946,-0.24053162,0.28208855
LSNGP,0.20841284,-0.1334158,0.27850708
LSRG,-0.08567315,0.0522208,-0.1461348
LVHK,0.13103811,0.3270371,0.035094857
MAGE,0.19983335,-0.16391036,0.181883
MAGEP,0.20860915,-0.11520357,0.32577774
MAGN,-0.29948997,-0.054340728,0.17993331
MBNK,0.04074787,0.30432427,0.100602865
MDMG,0.094668426,0.21724185,-0.10064779
MFGS,0.25897262,-0.15092283,0.30911458
MFGSP,0.26879075,0.23837784,-0.057722606
MGKL,0.31283933,0.209244,-0.14887407
MGNT,0.05963854,0.12636434,0.22557186
MGNZ,0.05963854,0.12636434,0.22557186
MGTS,0.31283933,0.209244,-0.14887407
MGTSP,0.3128393,0.209244,-0.14887406
MISB,0.23183958,0.3909838,0.18863463
MISBP,0.23183958,0.3909838,0.18863463
MOEX,0.14352773,0.3044497,0.09540604
MRKC,0.24569285,-0.2603276,-0.033445712
MRKK,0.41501227,-0.20523328,0.03714149
MRKP,0.41501227,-0.20523328,0.03714149
MRKS,0.3847261,-0.19620682,0.036201544
MRKU,0.41501227,-0.20523328,0.03714149
MRKV,0.4177783,-0.2061651,0.044775408
MRKY,0.41064024,-0.20390499,0.03186106
MRKZ,0.38186616,-0.21349849,0.026408693
MRSB,0.37912148,-0.21540444,0.012245556
MSNG,0.122144535,-0.21529129,0.13350877
MSRS,0.099021554,-0.23270248,0.12530807
MSTT,-0.09945967,0.08396868,0.16738215
MTLR,-0.20534238,-0.14071816,0.02767304
MTLRP,-0.20534238,-0.14071816,0.02767304
MTSS,0.21451071,0.18258227,-0.19231291
MVID,0.16793908,0.03475898,0.061217718
NAUK,-0.11554345,-0.101706356,-0.072457716
NFAZ,-0.21034758,0.04635953,0.027081283
NKHP,-0.113804504,-0.065954074,0.05926898
NKNC,-0.3076402,0.11485651,0.09365574
NKNCP,-0.30764014,0.1148565,0.09365573
NKSH,-0.28160885,0.04788415,-0.14534502
NLMK,-0.30364966,-0.124995925,-0.11011665
NMTP,-0.002727752,0.022263553,-0.32674223
NNSB,0.18914522,-0.24980402,-0.13902338
NNSBP,0.18914524,-0.24980398,-0.13902338
NSVZ,0.18914524,-0.24980398,-0.13902338
NVTK,-0.093136944,-0.20638031,-0.061906427
OGKB,0.11781648,-0.35150027,-0.12669036
OMZZP,-0.29995957,-0.020633738,-0.16997066
OZPH,-0.12930901,-0.10391564,-0.15454091
PAZA,-0.13456081,0.06472443,0.066301405
PHOR,-0.21370713,-0.1199861,-0.100966185
PIKK,0.06936574,0.112309754,0.0035491972
PLZL,-0.12848851,-0.057437845,-0.04288292
PMSB,0.2012454,-0.28975618,0.057830576
PMSBP,0.2012454,-0.28975618,0.057830576
POSI,0.08068994,0.09283982,-0.22483669
PRFN,-0.16970335,0.073884465,-0.05541939
PRMB,0.17856501,0.4289742,0.15929186
PRMD,-0.30728942,-0.11325036,-0.048792385
RAGR,-0.15751196,-0.034984697,0.10437974
RASP,-0.21223785,-0.2320427,0.13747096
RBCM,0.21816985,0.2002465,-0.09144149
RDRB,0.040430024,0.16991377,-0.081669435
RENI,0.072345205,0.20107925,0.12283761
RGSS,0.14601721,0.26930335,0.09000228
RKKE,-0.13232246,0.0137272375,-0.018548707
RNFT,-0.22390758,-0.06373821,0.05440943
ROLO,-0.33509812,-0.036637034,0.101696774
ROSN,-0.11429367,0.04595641,0.09781339
ROST,0.3380401,0.21376753,-0.0753455
RTGZ,0.3380401,0.21376753,-0.0753455
RTKM,0.3380401,0.21376753,-0.0753455
RTKMP,0.3380401,0.21376753,-0.0753455
RTSB,0.30377704,0.20238253,-0.063147224
RTSBP,0.30377704,0.20238253,-0.063147224
RUAL,-0.20600544,0.06441796,0.11801972
RUSI,-0.1778827,-0.012230004,0.08953066
RZSB,0.21776284,-0.184492,-0.0136233
SAGO,-0.19277816,0.008215873,0.09219196
