date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2020-04-17,,,,,,,,,,,,
2020-04-18,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,
2020-04-25,,,,,,,,,,,,
2020-04-26,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,
2020-04-29,,,,,,,,,,,,
2020-04-30,,,,,,,,,,,,
2020-05-01,,0.08135,,,0.34208,,,,,,,
2020-05-02,,-0.18548,,,0.48280,,,,,,,
2020-05-03,,-2.39817,,-0.11324,-2.02021,,,,,,,
2020-05-04,0.62139,-1.40475,,-0.47746,0.00513,,,,,,,
2020-05-05,-1.51660,1.21250,,1.99929,0.07924,,,,,,,
2020-05-06,-0.07065,0.06324,,-0.55302,1.26197,,,,,,,
2020-05-07,0.72542,1.15334,,-0.57224,0.10969,,,,,,,
2020-05-08,-1.05727,-0.01963,,-0.58532,0.27912,,,,,,,
2020-05-09,1.97387,0.69185,,-0.61106,1.21726,,,,,,,
2020-05-10,-1.59188,-2.20548,,-0.12510,-1.70213,,,,,,,
2020-05-11,1.04456,0.80811,,1.39407,-0.42465,,,,,,,
2020-05-12,-1.14590,0.99177,,-0.51867,-0.75109,,,,,,,
2020-05-13,0.68513,0.76714,,-0.58219,-0.48318,,,,,,,
2020-05-14,-0.37471,0.32874,,-0.18143,0.74191,,,,,,,
2020-05-15,0.22201,1.24630,,-0.32767,-0.38115,,,,,,,
2020-05-16,-0.07364,-0.23971,,-0.20402,0.62453,,,,,,,
2020-05-17,0.99418,-1.79570,,-0.40089,-1.52363,,,,,,,
2020-05-18,-0.96427,-1.61344,,0.57952,-1.02193,,,,,,,
2020-05-19,-0.13800,0.05707,,0.00299,1.23936,,,,,,,
2020-05-20,-1.13416,1.47568,,-0.10021,1.07357,,,,,,,
2020-05-21,2.17819,-0.61164,,-0.17780,-0.58889,,,,,,,
2020-05-22,-1.23582,-0.68864,,-0.66666,-1.20328,,,,,,,
2020-05-23,0.64861,0.58248,,0.00257,1.39285,,,,,,,
