date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2020-04-17,,0.00000,0.00000,,0.00000,0.00000,0.00000,,,,,
2020-04-18,,0.00000,0.00000,,0.00000,0.00000,0.00000,,,,,
2020-04-19,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-29,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-04-30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2020-05-01,0.00000,0.08135,0.72457,0.00000,0.34208,-0.26112,-0.64515,0.00000,0.00000,0.00000,0.00000,
2020-05-02,0.00000,-0.18548,0.69108,0.00000,0.48280,-0.51261,-0.25145,0.00000,0.00000,0.00000,0.00000,
2020-05-03,0.00000,-2.39817,0.66192,-0.11324,-2.02021,-0.72042,0.17699,0.00000,0.00000,0.00000,0.00000,
2020-05-04,0.62139,-1.40475,0.63621,-0.47746,0.00513,-0.59041,1.07717,0.00000,0.00000,0.00000,0.00000,
2020-05-05,-1.51660,1.21250,-0.61332,1.99929,0.07924,1.50157,-0.86100,0.00000,0.00000,0.00000,0.00000,
2020-05-06,-0.07065,0.06324,-1.70569,-0.55302,1.26197,3.07827,-0.06181,0.00000,0.00000,0.00000,0.00000,
