date,news_sentiment_1d_raw,news_sentiment_chg_1d_raw,news_topic_intensity_MacroRF_raw,news_topic_intensity_MonetaryPolicyRF_raw,news_topic_intensity_GeopoliticsSanctions_raw,news_topic_intensity_OilGasEnergy_raw,news_topic_intensity_FiscalPolicyCorp_raw,news_topic_focus_shift_1d_raw,news_topic_entropy_1d_raw,_topic_vector_internal
2020-04-18,-0.10000,,0.20000,0.00000,0.20000,0.00000,0.40000,,1.50000,"[np.float64(0.2), np.float64(0.0), np.float64(0.2), np.float64(0.0), np.float64(0.4)]"
2020-04-19,-0.20000,-0.10000,0.40000,0.00000,0.20000,0.00000,0.20000,0.16667,1.50000,"[np.float64(0.4), np.float64(0.0), np.float64(0.2), np.float64(0.0), np.float64(0.2)]"
2020-04-20,-0.22000,-0.02000,0.09000,0.02000,0.06000,0.47000,0.22000,0.64599,1.71449,"[np.float64(0.09), np.float64(0.02), np.float64(0.06), np.float64(0.47), np.float64(0.22)]"
2020-04-21,-0.48000,-0.26000,0.35000,0.12000,0.25000,0.65000,0.38000,0.05678,2.13969,"[np.float64(0.35), np.float64(0.12), np.float64(0.25), np.float64(0.65), np.float64(0.38)]"
2020-04-22,-0.31000,0.17000,0.10000,0.07000,0.17000,0.45000,0.17000,0.03533,2.01228,"[np.float64(0.1), np.float64(0.07), np.float64(0.17), np.float64(0.45), np.float64(0.17)]"
2020-04-23,-0.03000,0.28000,0.35000,0.21000,0.16000,0.21000,0.29000,0.25676,2.26776,"[np.float64(0.35), np.float64(0.21), np.float64(0.16), np.float64(0.21), np.float64(0.29)]"
2020-04-24,-0.18000,-0.15000,0.42000,0.14000,0.31000,0.33000,0.25000,0.04558,2.24252,"[np.float64(0.42), np.float64(0.14), np.float64(0.31), np.float64(0.33), np.float64(0.25)]"
2020-04-25,-0.20000,-0.02000,0.33000,0.00000,0.00000,0.17000,0.17000,0.14666,1.50730,"[np.float64(0.33), np.float64(0.0), np.float64(0.0), np.float64(0.17), np.float64(0.17)]"
2020-04-26,-0.49000,-0.29000,0.63000,0.01000,0.13000,0.21000,0.13000,0.05567,1.70416,"[np.float64(0.63), np.float64(0.01), np.float64(0.13), np.float64(0.21), np.float64(0.13)]"
2020-04-27,-0.34000,0.15000,0.40000,0.04000,0.20000,0.40000,0.20000,0.11063,2.06201,"[np.float64(0.4), np.float64(0.04), np.float64(0.2), np.float64(0.4), np.float64(0.2)]"
2020-04-28,-0.21000,0.13000,0.35000,0.00000,0.10000,0.25000,0.10000,0.02415,1.79618,"[np.float64(0.35), np.float64(0.0), np.float64(0.1), np.float64(0.25), np.float64(0.1)]"
2020-04-29,-0.13000,0.08000,0.22000,0.02000,0.13000,0.24000,0.30000,0.13920,2.05220,"[np.float64(0.22), np.float64(0.02), np.float64(0.13), np.float64(0.24), np.float64(0.3)]"
2020-04-30,-0.18000,-0.05000,0.35000,0.08000,0.25000,0.32000,0.28000,0.03500,2.20135,"[np.float64(0.35), np.float64(0.08), np.float64(0.25), np.float64(0.32), np.float64(0.28)]"
2020-05-01,-0.15000,0.03000,0.30000,0.05000,0.10000,0.35000,0.20000,0.03840,2.06387,"[np.float64(0.3), np.float64(0.05), np.float64(0.1), np.float64(0.35), np.float64(0.2)]"
2020-05-02,-0.13000,0.02000,0.18000,0.00000,0.20000,0.50000,0.33000,0.06825,1.87626,"[np.float64(0.18), np.float64(0.0), np.float64(0.2), np.float64(0.5), np.float64(0.33)]"
2020-05-03,-0.05000,0.08000,0.10000,0.00000,0.30000,0.30000,0.10000,0.11134,1.81128,"[np.float64(0.1), np.float64(0.0), np.float64(0.3), np.float64(0.3), np.float64(0.1)]"
2020-05-04,0.20000,0.25000,0.00000,0.00000,0.50000,0.50000,0.00000,0.05132,1.00000,"[np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.5), np.float64(0.0)]"
