date,news_topic_intensity_MonetaryPolicyRF_raw_z,news_sentiment_1d_raw_z,news_topic_intensity_OilGasEnergy_raw_z,news_topic_intensity_MacroRF_raw_z,news_topic_entropy_1d_raw_z,news_topic_intensity_FiscalPolicyCorp_raw_z,news_topic_intensity_GeopoliticsSanctions_raw_z,news_sentiment_extreme_1d_raw
2020-04-17,-0.20706,-1.61769,-0.47535,-0.14221,0.34281,1.17680,-0.62492,1.00000
2020-04-18,-0.89355,-0.45337,-1.23940,-0.06292,-0.93371,1.15631,-0.37843,1.00000
2020-04-19,-0.89279,-0.50416,-1.20239,0.91071,-0.55426,-0.48434,0.44872,0.50000
2020-04-20,-0.75054,-0.43623,1.10882,-0.34209,-0.41446,0.01998,-1.06017,1.00000
2020-04-21,-0.01634,-1.94384,2.46744,1.25774,0.26872,0.08873,-0.17734,1.00000
2020-04-22,-0.37802,-1.07382,1.33174,-0.80534,0.14543,-0.04541,-0.55761,0.50000
2020-04-23,0.67487,0.72723,0.18302,0.46265,0.66406,0.51830,-0.59768,0.75000
2020-04-24,1.09955,0.25078,0.24652,0.99371,0.66587,0.20483,0.07683,1.00000
2020-04-25,-0.90371,-0.37963,-0.51652,0.64962,-1.23820,0.16699,-1.33403,0.75000
2020-04-26,-0.24662,-1.57030,-0.32066,2.52254,-0.27943,-0.60683,-0.70821,1.00000
2020-04-27,-0.58904,-1.56008,0.63722,1.09689,0.29369,-0.69836,0.57461,0.50000
2020-04-28,-0.90700,-1.04337,0.31435,0.70335,-0.16584,-1.26548,-0.00902,1.00000
2020-04-29,-0.73441,-1.09758,0.27500,-0.01091,0.43402,0.41683,-0.70601,1.00000
2020-04-30,-0.24802,-0.71029,0.21029,1.07141,0.45644,0.32002,-0.14537,0.75000
2020-05-01,-0.51179,-1.18141,0.38336,0.68752,0.11416,0.08176,-0.86369,1.00000
2020-05-02,-0.81794,-1.09752,1.11282,0.34738,-0.19232,0.41992,-0.42354,1.00000
2020-05-03,-0.91002,-0.76205,0.13148,-1.02767,-1.22974,0.25101,0.03115,1.00000
2020-05-04,-0.86975,1.84444,1.16930,-0.49135,-1.81290,-1.24357,0.97093,1.00000
2020-05-05,-0.04333,0.44688,0.36818,0.54623,0.28818,-0.56778,-1.01210,0.75000
2020-05-06,1.53755,0.27935,0.10325,1.39879,0.20925,-0.10336,-0.19646,0.50000
2020-05-07,-0.52173,0.00737,-0.31776,0.25273,0.63416,-0.66977,-0.62502,0.57143
2020-05-08,-0.44345,-0.94092,-0.21513,0.84646,0.18722,0.29390,-0.23703,0.00000
2020-05-09,-0.39831,1.13066,-0.40658,1.20073,0.39264,-0.83630,-0.14901,1.00000
2020-05-10,-0.16924,0.54943,-1.32839,-0.50948,-1.09692,0.27111,-0.42400,1.00000
2020-05-11,-0.32350,0.73043,0.60035,0.30393,0.58838,0.60392,-0.42210,0.40000
2020-05-12,-0.34001,0.17606,-0.19357,0.07278,0.71102,0.45472,0.65293,1.00000
2020-05-13,-0.53009,-0.06646,-0.06432,0.22355,0.52494,0.60186,-0.48982,0.60000
2020-05-14,-0.20300,-0.31376,-0.22054,0.98386,0.42377,-0.18349,-0.38217,1.00000
2020-05-15,-0.45714,-0.83202,-0.26875,0.25320,0.84098,0.28608,-0.04335,0.66667
2020-05-16,-0.82985,-0.28686,-1.18890,0.94600,-0.51379,0.45463,0.22007,0.33333
2020-05-17,-0.49476,1.14403,-0.93275,-0.23972,-0.81903,1.60691,-0.32389,1.00000
2020-05-18,2.87424,-0.44518,-0.37422,0.25065,-0.74933,-1.03543,-0.19648,1.00000
2020-05-19,-0.61179,0.25123,-0.64392,0.93885,0.08289,0.44556,-0.38697,0.83333
2020-05-20,-0.53427,-2.67437,0.41868,2.16803,0.12007,-0.55220,0.38261,
2020-05-21,-0.43940,0.08173,-0.72334,0.34984,-0.27459,1.15965,-0.63153,0.25000
2020-05-22,-0.16679,-1.23806,-0.30795,-0.20620,-0.19203,1.10412,-0.65095,1.00000
