TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-04-17,0.10655,-2.292683,-0.005089,0.683455,-1.342771,0.516585,-1.961193,-1.976907,-1.292533,0.392846,-3.601824
2020-04-20,-0.288789,-2.012353,0.016906,0.531541,-1.342295,0.88382,-1.960419,-1.989572,-1.185984,0.452193,5.016688
2020-04-21,-0.811369,-1.907574,0.040784,0.373739,-1.232542,1.293551,-1.96346,-2.003311,-1.113286,0.500152,9.553116
2020-04-22,1.473662,-2.114913,-0.028527,0.22445,-1.348316,1.561861,-1.954173,-1.997351,-1.02261,0.567347,9.7709
2020-04-23,0.351183,-1.846002,-0.024458,0.004298,-1.524559,1.687109,-1.9389,-1.983307,-0.90697,0.665911,-0.323982
2020-04-24,-0.759269,-1.617934,0.007033,-0.2812,-1.625692,1.649365,-1.927255,-1.976036,-0.775904,0.768139,1.641198
2020-04-27,0.010806,-1.643944,0.007595,-0.67059,-1.684764,1.629526,-1.910503,-1.960007,-0.634155,0.883922,12.901988
2020-04-28,0.65601,-1.467035,-0.012872,-1.217709,-1.675454,1.587768,-1.895411,-1.943757,-0.489203,1.005586,10.170339
2020-04-29,0.887439,-1.395293,-0.018785,-1.715128,-1.597437,1.524769,-1.877291,-1.924673,-0.35328,1.110581,1.578551
2020-04-30,-0.440015,-1.304084,0.01896,-2.041574,-1.457628,1.483074,-1.860699,-1.90653,-0.215038,1.256124,-1.207529
2020-05-04,-0.644241,-1.279445,0.01247,-1.999929,-1.440784,1.387662,-1.844888,-1.889417,-0.070612,1.386061,-2.329644
2020-05-05,0.539831,-1.183235,-0.028388,-1.896181,-1.336441,1.316671,-1.825913,-1.869892,0.085499,1.505049,1.18662
2020-05-06,-0.482236,-1.158539,0.017754,-1.746727,-1.212563,1.220574,-1.814062,-1.857727,0.22751,1.614486,-1.505809
2020-05-07,0.042909,-1.11187,-0.010651,-1.615552,-1.10514,1.141344,-1.803026,-1.848269,0.359343,1.708022,1.256446
2020-05-08,0.199872,-1.076618,-0.007656,-1.530132,-1.087912,1.053416,-1.776835,-1.821588,0.501645,1.838056,-3.692869
2020-05-12,0.075031,-1.064605,-0.002608,-1.415016,-1.061471,0.947891,-1.748598,-1.795656,0.672139,1.967427,-6.529435
2020-05-13,-0.762002,-0.949275,0.016408,-1.295961,-1.238179,0.822296,-1.723127,-1.772703,0.841503,2.081161,-6.128319
2020-05-14,-0.301329,-0.95171,-0.016518,-1.173951,-1.543102,0.726273,-1.70207,-1.756554,1.007717,2.209613,11.231625
2020-05-15,0.126753,-0.883286,-0.00338,-1.073711,-1.809958,0.619331,-1.684482,-1.743666,1.209526,2.339137,15.26852
2020-05-18,2.444675,-1.431986,-0.019862,-1.075989,-1.522475,0.869049,-1.661226,-1.72011,1.43239,2.451051,21.988696
2020-05-19,0.204701,-1.462116,-0.00184,-1.107392,-1.001699,1.167269,-1.638474,-1.69529,1.624665,2.532733,3.007639
2020-05-20,1.189859,-1.258517,-0.023029,-1.164567,0.034393,1.562917,-1.614566,-1.667899,1.798179,2.611356,-0.287764
2020-05-21,-1.470295,-0.983856,0.008977,-1.312191,1.258974,1.866932,-1.59216,-1.644338,1.954311,2.666058,-1.550693
2020-05-22,-0.505086,-1.205081,0.00901,-1.541312,1.886599,2.140358,-1.575606,-1.627808,2.073212,2.694485,4.308711
2020-05-25,1.06102,-1.63422,-0.006541,-1.755635,2.251996,2.251183,-1.557635,-1.609233,2.166925,2.715023,3.870096
2020-05-26,-0.306579,-1.543981,-0.01309,-1.888393,2.36037,2.245578,-1.538463,-1.591079,2.25194,2.719503,2.654445
2020-05-27,-0.605288,-1.680112,0.011949,-1.974616,2.054399,2.256684,-1.515475,-1.565789,2.316461,2.719976,-2.333216
2020-05-28,0.778587,-1.435314,-0.003796,-2.04746,1.837429,2.257743,-1.49337,-1.540391,2.374438,2.710633,1.119356
2020-05-29,-1.354051,-1.150705,0.009436,-2.069238,1.559859,2.111518,-1.467907,-1.511759,2.430589,2.700619,1.976159
2020-06-01,0.309755,-1.336517,-0.020904,-2.067791,1.377089,1.944427,-1.434762,-1.470898,2.525962,2.67846,11.529663
2020-06-02,1.04733,-1.070467,-0.010044,-2.064093,1.306398,1.870982,-1.401361,-1.4262,2.57946,2.651717,1.936016
2020-06-03,0.650337,-1.063903,-0.007896,-2.136691,1.361464,1.865819,-1.372826,-1.386519,2.591102,2.61133,-0.449673
2020-06-04,-1.747241,-0.321579,0.002478,-2.069743,1.224436,1.755892,-1.349088,-1.356795,2.557188,2.569369,-4.120383
2020-06-05,0.469223,-0.315214,-0.016743,-2.041808,1.124221,1.710952,-1.321702,-1.325556,2.518419,2.527242,3.55261
2020-06-08,-0.110118,-0.237775,0.002292,-1.996126,1.165061,1.671749,-1.289767,-1.285996,2.524528,2.479423,-0.903563
2020-06-09,-0.199075,-0.141383,-0.002179,-1.921196,1.067703,1.63141,-1.240781,-1.224506,2.586073,2.533013,-6.317765
2020-06-10,-0.442423,0.005295,-0.003503,-1.850158,0.973463,1.591785,-1.192605,-1.165083,2.638436,2.557941,-9.289275
2020-06-11,-1.210399,0.188254,0.026211,-1.779877,0.293893,1.563432,-1.139559,-1.087718,2.726558,2.619432,-4.443322
2020-06-15,-0.782958,0.488403,0.007429,-1.71196,-0.724168,1.542809,-1.088537,-1.016761,2.777474,2.65318,-0.449802
2020-06-16,0.543104,0.979685,-0.00821,-1.663908,-1.665739,1.566616,-1.033942,-0.93611,2.825351,2.686324,0.645431
2020-06-17,-0.306869,-2.408261,0.00581,-1.608187,-2.201188,1.495262,-0.977232,-0.850184,2.848363,2.703995,1.25538
2020-06-18,-0.484705,-2.029849,-0.004603,-1.554502,-2.306289,1.404067,-0.908633,-0.750199,2.868701,2.72736,2.809194
2020-06-19,1.083172,-2.313409,-0.001762,-1.496886,-2.170824,1.295785,-0.84654,-0.664374,2.868078,2.748064,8.174971
2020-06-22,0.081771,-2.614825,-0.004673,-1.426512,-2.068255,1.257537,-0.784848,-0.582987,2.823333,2.729835,0.251234
2020-06-23,0.799787,-2.110132,-0.003869,-1.413178,-1.801908,1.265876,-0.715796,-0.48411,2.774382,2.700935,-0.187028
2020-06-25,-1.04522,-2.033329,0.016944,-1.379112,-1.740966,1.185202,-0.658488,-0.409416,2.693776,2.657739,-2.880155
2020-06-26,0.020887,-1.772814,0.012658,-1.327026,-1.615888,1.119147,-0.604621,-0.337194,2.62211,2.611485,-2.125753
2020-06-29,0.165587,-1.607327,0.0117,-1.267789,-1.553853,1.08472,-0.55563,-0.26677,2.553272,2.565844,3.248965
2020-06-30,-0.79668,-1.59562,0.017752,-1.178624,-1.463497,0.957539,-0.50001,-0.183106,2.477336,2.517879,4.035042
2020-07-02,1.486268,-1.433901,-0.014373,-1.113755,-1.3463,0.980725,-0.436439,-0.09333,2.413372,2.473322,10.993435
2020-07-03,0.356377,-1.306553,0.019574,-0.981899,-1.205111,1.019056,-0.38307,-0.009806,2.338954,2.429091,4.324963
2020-07-06,1.10788,-1.338398,0.005443,-0.777665,-0.809546,1.051781,-0.323581,0.09022,2.273219,2.383749,1.681656
2020-07-07,-0.348109,-1.363817,-0.006112,-0.52212,-0.497277,0.993195,-0.271677,0.180324,2.2185,2.339143,-6.26026
2020-07-08,-0.495,-1.879726,-0.000166,-0.306055,-0.231785,1.09152,-0.222316,0.268473,2.169136,2.299156,-2.875874
2020-07-09,-1.365191,-1.592385,0.002859,-0.027839,-0.367906,1.044619,-0.177731,0.344668,2.123695,2.257521,-5.856421
2020-07-10,0.750527,-1.389256,-0.00348,0.367499,-0.692391,1.05259,-0.129313,0.426447,2.079677,2.215693,-4.570388
2020-07-13,-1.29086,-1.092195,-0.000734,0.7721,-0.822615,0.926612,-0.082774,0.497585,2.041429,2.171416,-6.371484
2020-07-14,-0.798542,-0.949641,0.006158,1.262381,-0.946841,0.701556,-0.045138,0.560432,2.004034,2.132312,-0.817834
2020-07-15,0.133318,-1.185067,0.006482,1.593089,-1.418314,0.696915,-0.003176,0.632978,1.968475,2.093557,3.653862
2020-07-16,0.434882,-1.263135,0.00305,1.740834,-1.738829,0.989785,0.047024,0.723536,1.934071,2.059304,6.526158
2020-07-17,0.59276,-1.463139,0.010833,1.887068,-2.088697,1.149787,0.102157,0.820695,1.902895,2.026156,7.841786
2020-07-20,1.040478,-1.219391,-0.00159,1.905588,-1.896562,1.599635,0.187679,0.962075,1.877863,1.999044,7.114468
2020-07-21,0.783444,-1.164047,-0.008281,1.804811,-1.078846,2.25205,0.279921,1.105887,1.853289,1.970379,5.84259
2020-07-22,0.230721,-1.374687,0.01207,1.721737,-0.452186,2.532012,0.372064,1.243153,1.820813,1.942687,4.384093
2020-07-23,0.555752,-1.201544,0.008255,1.678617,0.452642,2.673527,0.475567,1.379877,1.783073,1.912193,5.854944
2020-07-24,0.349,-1.301693,0.011585,1.714745,0.734113,2.553673,0.599041,1.518015,1.751934,1.885735,5.064557
2020-07-27,0.727969,-1.544051,0.012558,1.693118,1.513955,2.627158,0.705008,1.622717,1.720293,1.859413,6.376812
2020-07-28,0.186938,-1.425422,0.01235,1.716179,2.131899,2.621328,0.797382,1.707684,1.685025,1.830051,-0.260078
2020-07-29,0.706559,-1.240855,0.000931,1.707626,2.310178,2.58742,0.900489,1.793032,1.649208,1.801308,1.850638
