link,date,headline,description,category
https://www.rbc.ru/rbcfreenews/6621618e9a7947d7bf92d397,"18 апр 2024, 21:36",,"Жителям 18 населенных пунктов Белозерского округа Курганской области необходимо превентивно эвакуироваться из-за риска подтопления,сообщилапресс-служба правительства региона в телеграм-канале.",
https://www.rbc.ru/finances/18/04/2024/66217d149a79471c62b62f5d,"18 апр 2024, 23:43",,"ВТБ и JPMorgan Сhase обменялись исками. Российский банк через петербургский суд требует вернуть заблокированные активы, американский банк напоминает, что более 15 лет назад они договорились решать все споры в суде Нью-Йорка",
https://www.rbc.ru/politics/18/04/2024/66213ed09a794776b2934b6c,"18 апр 2024, 19:11",,"СБУ считает, что задержанный предложил помощь в подготовке покушения на Зеленского, когда тот приедет в Польшу. Он собирался передать данные о мерах безопасности в польском аэропорту Жешув-Ясёнка",
https://www.rbc.ru/rbcfreenews/6621335f9a794775b945bbed,"18 апр 2024, 18:19",,"Президент России Владимир Путин поддержал выдвижение главы Крыма Сергея Аксенова на новый срок. Они поговорили по видеосвязи,сообщилапресс-служба Кремля.",
https://www.rbc.ru/sport/18/04/2024/662145899a794785dd0d1812,"18 апр 2024, 19:18",,"Все три шайбы в Магнитогорске были заброшены в последние восемь минут встречи, которая завершилась победой хозяев со счетом 2:1. Решающий гол на счету Александра Петунина",
https://www.rbc.ru/rbcfreenews/662143e09a794709649eb3fd,"18 апр 2024, 19:26",,"Все диверсионные группы, выявленные в Крыму с 2014 года, были задержаны. Об этомзаявилглава республики Сергей Аксенов во время общения с президентом России Владимиром Путиным по видеосвязи.",
https://www.rbc.ru/politics/18/04/2024/66214e2f9a794780d7602a06,"18 апр 2024, 20:17",,"«Я всем говорю, что я румын и говорю по-румынски», — сказал премьер Дорин Речан. Перепись населения в Молдавии проходит с 8 апреля по 7 июля, в анкете гражданам необходимо указать свою этническую принадлежность",
https://www.rbc.ru/politics/18/04/2024/6621574b9a794794501f72fd,"18 апр 2024, 21:07",,"У них нашли переписку с лидерами группировок, воюющих на Украине, а также оружие и экстремистскую атрибутику",
https://www.rbc.ru/politics/18/04/2024/662156b39a79479815ce2975,"18 апр 2024, 21:14",,"Союзники по НАТО могут предоставить Украине средства и расширить ее поддержку, но проблему нехватки военных Киев должен решить самостоятельно, заявил Столтенберг. Он напомнил об ужесточении правил мобилизации в стране",
https://www.rbc.ru/politics/18/04/2024/662147999a79471f2a86d160,"18 апр 2024, 22:25",,"Некоторые чиновники, имеющие доступ к гостайне, не могут выехать в Белоруссию, Узбекистан и другие дружественные страны, не получив специальное разрешение, пишет Reuters",
https://www.rbc.ru/?video_id=66214a769a79471f2a86d169,,,,
https://www.rbc.ru/rbcfreenews/66212e749a7947f38e5dfb9b,"18 апр 2024, 18:17",,"Китай использует гражданские космические полеты и исследования для маскировки военных программ, заявил глава NASA Билл Нельсон на заседании комитета по ассигнованиям палаты представителей конгресса США. Трансляцию заседания вYouTubeвела пресс-служба комитета.",
https://www.rbc.ru/society/18/04/2024/66213fdf9a7947151b221999,"18 апр 2024, 20:00",,"TMZ сообщил, что Канье Уэст подозревается в нападении на мужчину. Делом занимается Департамент полиции Лос-Анджелеса. По версии представителя рэпера, так Канье Уэст ответил на избиение его жены",
https://www.rbc.ru/rbcfreenews/662149c99a7947aef39a3504,"18 апр 2024, 19:46",,"На западе Кении разбился военный вертолет, на борту которого находился командующий Силами обороны страны Фрэнсис Оголла. Об этомсообщаетNation.",
https://www.rbc.ru/rbcfreenews/66214f649a79470605c482ad,"18 апр 2024, 20:12",,"Заявка Аргентины на сотрудничество с НАТО в качестве глобального партнера вызывает сожаление, но Россия не будет «перетряхивать» из-за этого отношения с республикой. Об этом заявилТАССзаместитель главы российского МИДа Сергей Рябков.",
https://www.rbc.ru/rbcfreenews/66213c409a79479b8481bb20,"18 апр 2024, 18:56",,"Посольство Германии в России не может подтвердить слова официального представителя МИД России Марии Захаровой о том, что власти ФРГ выступили против участия представителей России в мероприятиях по случаю 79-годовщины освобождения узников концентрационных лагерей. Об этом заявили РБК в диппредставительстве.",
