TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2020-04-17,0.10655,-2.292683,,0.0,-1.342771,0.516585,,-1.976907,-1.292533,0.392846
2020-04-20,-0.288789,-2.012353,,0.0,-1.342295,0.88382,,-1.989572,-1.185984,0.452193
2020-04-21,-0.811369,-1.907574,,0.0,-1.232542,1.293551,,-2.003311,-1.113286,0.500152
2020-04-22,1.473662,-2.114913,,0.0,-1.348316,1.561861,,-1.997351,-1.02261,0.567347
2020-04-23,0.351183,-1.846002,,0.0,-1.524559,1.687109,,-1.983307,-0.90697,0.665911
2020-04-24,-0.759269,-1.617934,,0.0,-1.625692,1.649365,,-1.976036,-0.775904,0.768139
2020-04-27,0.010806,-1.643944,,0.0,-1.684764,1.629526,,-1.960007,-0.634155,0.883922
2020-04-28,0.65601,-1.467035,,0.0,-1.675454,1.587768,,-1.943757,-0.489203,1.005586
2020-04-29,0.887439,-1.395293,,0.0,-1.597437,1.524769,,-1.924673,-0.35328,1.110581
2020-04-30,-0.440015,-1.304084,,0.0,-1.457628,1.483074,,-1.90653,-0.215038,1.256124
2020-05-04,-0.644241,-1.279445,,0.0,-1.440784,1.387662,,-1.889417,-0.070612,1.386061
2020-05-05,0.539831,-1.183235,,0.0,-1.336441,1.316671,,-1.869892,0.085499,1.505049
2020-05-06,-0.482236,-1.158539,,0.0,-1.212563,1.220574,,-1.857727,0.22751,1.614486
2020-05-07,0.042909,-1.11187,,0.0,-1.10514,1.141344,,-1.848269,0.359343,1.708022
2020-05-08,0.199872,-1.076618,,0.0,-1.087912,1.053416,,-1.821588,0.501645,1.838056
2020-05-12,0.075031,-1.064605,,0.0,-1.061471,0.947891,,-1.795656,0.672139,1.967427
2020-05-13,-0.762002,-0.949275,,0.0,-1.238179,0.822296,,-1.772703,0.841503,2.081161
2020-05-14,-0.301329,-0.95171,,0.0,-1.543102,0.726273,,-1.756554,1.007717,2.209613
2020-05-15,0.126753,-0.883286,,0.0,-1.809958,0.619331,,-1.743666,1.209526,2.339137
2020-05-18,2.444675,-1.431986,,0.0,-1.522475,0.869049,,-1.72011,1.43239,2.451051
2020-05-19,0.204701,-1.462116,,0.0,-1.001699,1.167269,,-1.69529,1.624665,2.532733
2020-05-20,1.189859,-1.258517,,0.0,0.034393,1.562917,,-1.667899,1.798179,2.611356
2020-05-21,-1.470295,-0.983856,,0.0,1.258974,1.866932,,-1.644338,1.954311,2.666058
