TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2020-04-17,0.10655,-2.292683,-0.005089,,,0.516585,,,,
2020-04-20,-0.288789,-2.012353,0.016906,,,0.88382,,,,
2020-04-21,-0.811369,-1.907574,0.040784,,,1.293551,,,,
2020-04-22,1.473662,-2.114913,-0.028527,,,1.561861,,,,
2020-04-23,0.351183,-1.846002,-0.024458,,,1.687109,,,,
2020-04-24,-0.759269,-1.617934,0.007033,,,1.649365,-1.839129,-1.857057,-0.80953,0.7174
2020-04-27,0.010806,-1.643944,0.007595,,,1.629526,-1.824759,-1.844708,-0.680099,0.946445
2020-04-28,0.65601,-1.467035,-0.012872,,,1.587768,-1.811956,-1.831957,-0.548393,1.183443
2020-04-29,0.887439,-1.395293,-0.018785,,,1.524769,-1.796001,-1.816252,-0.4252,1.383685
2020-04-30,-0.440015,-1.304084,0.01896,,,1.483074,-1.781495,-1.8013,-0.30027,1.649943
2020-05-04,-0.644241,-1.279445,0.01247,,,1.387662,-1.767688,-1.787205,-0.17004,1.873839
2020-05-05,0.539831,-1.183235,-0.028388,,,1.316671,-1.750599,-1.770589,-0.029457,2.063188
2020-05-06,-0.482236,-1.158539,0.017754,,,1.220574,-1.740633,-1.761093,0.098572,2.221075
2020-05-07,0.042909,-1.11187,-0.010651,,,1.141344,-1.731414,-1.754157,0.217679,2.339085
2020-05-08,0.199872,-1.076618,-0.007656,,,1.053416,-1.719609,-1.745149,0.356269,2.441643
2020-05-12,0.075031,-1.064605,-0.002608,,,0.947891,-1.705162,-1.735988,0.521887,2.52483
2020-05-13,-0.762002,-0.949275,0.016408,,,0.822296,-1.692969,-1.728946,0.68866,2.575208
2020-05-14,-0.301329,-0.95171,-0.016518,,,0.726273,-1.684558,-1.727735,0.855093,2.639285
2020-05-15,0.126753,-0.883286,-0.00338,,,0.619331,-1.678877,-1.728782,1.058003,2.701236
2020-05-18,2.444675,-1.431986,-0.019862,,,0.869049,-1.656188,-1.706494,1.281179,2.780587
2020-05-19,0.204701,-1.462116,-0.00184,,,1.167269,-1.633981,-1.682958,1.47878,2.818165
2020-05-20,1.189859,-1.258517,-0.023029,,,1.562917,-1.610612,-1.656885,1.661761,2.850493
2020-05-21,-1.470295,-0.983856,0.008977,,,1.866932,-1.588722,-1.634596,1.830914,2.857703
2020-05-22,-0.505086,-1.205081,0.00901,,,2.140358,-1.572659,-1.619301,1.966282,2.84106
2020-05-25,1.06102,-1.63422,-0.006541,,,2.251183,-1.555187,-1.602033,2.07846,2.822264
2020-05-26,-0.306579,-1.543981,-0.01309,,,2.245578,-1.536517,-1.585238,2.18252,2.793232
2020-05-27,-0.605288,-1.680112,0.011949,,,2.256684,-1.514021,-1.561369,2.266054,2.766336
2020-05-28,0.778587,-1.435314,-0.003796,,,2.257743,-1.492392,-1.537417,2.341954,2.734962
2020-05-29,-1.354051,-1.150705,0.009436,,,2.111518,-1.467335,-1.510004,2.412189,2.711902
2020-06-01,0.309755,-1.336517,-0.020904,,,1.944427,-1.434484,-1.470049,2.517138,2.682656
2020-06-02,1.04733,-1.070467,-0.010044,,,1.870982,-1.401269,-1.425928,2.576651,2.6527
2020-06-03,0.650337,-1.063903,-0.007896,,,1.865819,-1.372826,-1.386519,2.591102,2.61133
2020-06-04,-1.747241,-0.321579,0.002478,,,1.755892,-1.349088,-1.356795,2.557188,2.569369
2020-06-05,0.469223,-0.315214,-0.016743,,,1.710952,-1.321702,-1.325556,2.518419,2.527242
2020-06-08,-0.110118,-0.237775,0.002292,,,1.671749,-1.289767,-1.285996,2.524528,2.479423
2020-06-09,-0.199075,-0.141383,-0.002179,,,1.63141,-1.240781,-1.224506,2.586073,2.533013
2020-06-10,-0.442423,0.005295,-0.003503,,,1.591785,-1.192605,-1.165083,2.638436,2.557941
2020-06-11,-1.210399,0.188254,0.026211,,,1.563432,-1.139559,-1.087718,2.726558,2.619432
2020-06-15,-0.782958,0.488403,0.007429,,,1.542809,-1.088537,-1.016761,2.777474,2.65318
2020-06-16,0.543104,0.979685,-0.00821,,,1.566616,-1.033942,-0.93611,2.825351,2.686324
2020-06-17,-0.306869,-2.408261,0.00581,,,1.495262,-0.977232,-0.850184,2.848363,2.703995
2020-06-18,-0.484705,-2.029849,-0.004603,,,1.404067,-0.908633,-0.750199,2.868701,2.72736
2020-06-19,1.083172,-2.313409,-0.001762,,,1.295785,-0.84654,-0.664374,2.868078,2.748064
2020-06-22,0.081771,-2.614825,-0.004673,,,1.257537,-0.784848,-0.582987,2.823333,2.729835
2020-06-23,0.799787,-2.110132,-0.003869,,,1.265876,-0.715796,-0.48411,2.774382,2.700935
2020-06-25,-1.04522,-2.033329,0.016944,,,1.185202,-0.658488,-0.409416,2.693776,2.657739
2020-06-26,0.020887,-1.772814,0.012658,,,1.119147,-0.604621,-0.337194,2.62211,2.611485
2020-06-29,0.165587,-1.607327,0.0117,,,1.08472,-0.55563,-0.26677,2.553272,2.565844
2020-06-30,-0.79668,-1.59562,0.017752,,,0.957539,-0.50001,-0.183106,2.477336,2.517879
2020-07-02,1.486268,-1.433901,-0.014373,,,0.980725,-0.436439,-0.09333,2.413372,2.473322
2020-07-03,0.356377,-1.306553,0.019574,,,1.019056,-0.38307,-0.009806,2.338954,2.429091
2020-07-06,1.10788,-1.338398,0.005443,,,1.051781,-0.323581,0.09022,2.273219,2.383749
2020-07-07,-0.348109,-1.363817,-0.006112,,,0.993195,-0.271677,0.180324,2.2185,2.339143
2020-07-08,-0.495,-1.879726,-0.000166,,,1.09152,-0.222316,0.268473,2.169136,2.299156
2020-07-09,-1.365191,-1.592385,0.002859,,,1.044619,-0.177731,0.344668,2.123695,2.257521
2020-07-10,0.750527,-1.389256,-0.00348,,,1.05259,-0.129313,0.426447,2.079677,2.215693
2020-07-13,-1.29086,-1.092195,-0.000734,,,0.926612,-0.082774,0.497585,2.041429,2.171416
2020-07-14,-0.798542,-0.949641,0.006158,,,0.701556,-0.045138,0.560432,2.004034,2.132312
2020-07-15,0.133318,-1.185067,0.006482,,,0.696915,-0.003176,0.632978,1.968475,2.093557
